"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.620910640E-1,-4.259185791E-1,4.546356201E-1,9.446868896E0
8.644409180E-1,-3.589172363E-1,5.001068115E-1,9.504287720E0
8.667602530E-1,-2.679901123E-1,5.312042236E-1,9.573684692E0
8.691101070E-1,-1.794586182E-1,5.359954834E-1,9.647857666E0
8.714294430E-1,-1.100769043E-1,5.001068115E-1,9.678970337E0
8.737792960E-1,-3.111267090E-2,5.096740723E-1,9.690933228E0
8.760986320E-1,3.111267090E-2,5.168457031E-1,9.645462036E0
8.784484860E-1,1.914978027E-2,5.192413330E-1,9.621536255E0
8.807678220E-1,-2.632141113E-2,5.240325928E-1,9.635894775E0
8.831176750E-1,-6.700134277E-2,5.144500732E-1,9.647857666E0
8.854675290E-1,-1.052856445E-1,5.001068115E-1,9.700500488E0
8.877868650E-1,-1.363983154E-1,4.953155518E-1,9.712463379E0
